Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
BN11 1YA,No,50.807702,-0.484187,506900,102000,TQ069019,"East Preston","East Preston",1981-06-01,1981-12-01,8,England,2020-06-03,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01031411,"Arun 010A"
BN12 5BJ,Yes,50.813192,-0.440829,509942,102674,TQ099026,"Ferring","Ferring",1980-01-01,,10,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5BL,Yes,50.812193,-0.442168,509850,102561,TQ098025,"Ferring","Ferring",1980-01-01,,11,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5BP,Yes,50.813178,-0.44249,509825,102670,TQ098026,"Ferring","Ferring",1980-01-01,,10,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5BQ,Yes,50.812231,-0.440236,509986,102568,TQ099025,"Ferring","Ferring",1980-01-01,,11,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5BY,Yes,50.81433,-0.442537,509819,102798,TQ098027,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5BZ,Yes,50.814809,-0.442748,509803,102851,TQ098028,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DA,Yes,50.815683,-0.441498,509889,102950,TQ098029,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DB,Yes,50.815909,-0.442243,509836,102974,TQ098029,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DE,Yes,50.815575,-0.442836,509795,102936,TQ097029,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DF,Yes,50.816827,-0.444342,509686,103073,TQ096030,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DG,Yes,50.816567,-0.443045,509778,103046,TQ097030,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DL,No,50.811242,-0.444968,509655,102451,TQ096024,"Ferring","Ferring",1996-06-01,1999-06-01,9,England,2020-06-03,"Postcode sector mean (mainly PO Boxes)",E01031424,"Arun 008D"
BN12 5DN,No,50.811242,-0.444968,509655,102451,TQ096024,"Ferring","Ferring",1996-12-01,1998-12-01,9,England,2020-06-03,"Postcode sector mean (mainly PO Boxes)",E01031424,"Arun 008D"
BN12 5DP,Yes,50.814643,-0.44571,509595,102828,TQ095028,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DR,Yes,50.814558,-0.446859,509514,102817,TQ095028,"Ferring","Ferring",1995-07-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DS,Yes,50.814077,-0.445867,509585,102765,TQ095027,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DT,Yes,50.813749,-0.445523,509610,102729,TQ096027,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DU,Yes,50.813852,-0.444498,509682,102742,TQ096027,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DX,Yes,50.813295,-0.445212,509633,102679,TQ096026,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DY,Yes,50.81297,-0.444413,509690,102644,TQ096026,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5DZ,Yes,50.812147,-0.444086,509715,102553,TQ097025,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5EA,Yes,50.811673,-0.444925,509657,102499,TQ096024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5EB,Yes,50.81106,-0.44414,509714,102432,TQ097024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5ED,Yes,50.811129,-0.443311,509772,102441,TQ097024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5EE,Yes,50.809007,-0.444644,509683,102203,TQ096022,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5EF,Yes,50.811193,-0.446076,509577,102444,TQ095024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5EG,Yes,50.810645,-0.444774,509670,102385,TQ096023,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5EH,Yes,50.809891,-0.443465,509764,102303,TQ097023,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5EJ,Yes,50.809632,-0.444297,509706,102273,TQ097022,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5EL,Yes,50.808743,-0.445051,509655,102173,TQ096021,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5EN,Yes,50.809029,-0.44426,509710,102206,TQ097022,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5EP,Yes,50.808361,-0.442778,509816,102134,TQ098021,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5EQ,Yes,50.809857,-0.445681,509608,102296,TQ096022,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5ER,Yes,50.807396,-0.443208,509788,102026,TQ097020,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5ES,Yes,50.807078,-0.442296,509853,101992,TQ098019,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5ET,Yes,50.806417,-0.441924,509881,101919,TQ098019,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5EU,Yes,50.805831,-0.441883,509885,101854,TQ098018,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5EW,Yes,50.809103,-0.443761,509745,102215,TQ097022,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5EX,Yes,50.805287,-0.441532,509911,101794,TQ099017,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5EY,Yes,50.805025,-0.441441,509918,101765,TQ099017,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5EZ,Yes,50.804758,-0.442288,509859,101734,TQ098017,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5FA,Yes,50.806026,-0.449739,509331,101864,TQ093018,"Ferring","Ferring",2016-06-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5GE,Yes,50.813633,-0.446904,509513,102714,TQ095027,"Ferring","Ferring",2009-06-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5GJ,Yes,50.806023,-0.450151,509302,101863,TQ093018,"Ferring","Ferring",2001-06-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5HA,Yes,50.805531,-0.442304,509856,101820,TQ098018,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5HB,Yes,50.804289,-0.440898,509958,101684,TQ099016,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5HD,Yes,50.803716,-0.441087,509946,101620,TQ099016,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5HE,Yes,50.804942,-0.441288,509929,101756,TQ099017,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5HF,Yes,50.804416,-0.441603,509908,101697,TQ099016,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5HG,Yes,50.813011,-0.446797,509522,102645,TQ095026,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5HH,Yes,50.808745,-0.443901,509736,102175,TQ097021,"Ferring","Ferring",1983-03-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5HJ,Yes,50.813953,-0.447347,509481,102749,TQ094027,"Ferring","Ferring",1980-01-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5HL,Yes,50.813772,-0.447907,509442,102728,TQ094027,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5HN,Yes,50.812713,-0.447431,509478,102611,TQ094026,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5HP,Yes,50.813859,-0.447038,509503,102739,TQ095027,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5HQ,Yes,50.804365,-0.445196,509655,101686,TQ096016,"Ferring","Ferring",1987-04-01,,6,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031422,"Arun 008B"
BN12 5HR,Yes,50.812978,-0.449736,509315,102637,TQ093026,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5HS,Yes,50.81199,-0.447853,509450,102530,TQ094025,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5HT,Yes,50.812151,-0.448405,509411,102547,TQ094025,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5HU,Yes,50.812336,-0.448111,509431,102568,TQ094025,"Ferring","Ferring",1980-01-01,,10,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5HW,No,50.812648,-0.44996,509300,102600,TQ092025,"Ferring","Ferring",1980-01-01,1994-05-01,8,England,2020-06-03,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01031423,"Arun 008C"
BN12 5HX,Yes,50.812486,-0.449923,509303,102582,TQ093025,"Ferring","Ferring",1980-01-01,,10,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5HY,Yes,50.812422,-0.450521,509261,102574,TQ092025,"Ferring","Ferring",1980-01-01,,10,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5HZ,Yes,50.811824,-0.45091,509235,102507,TQ092025,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5JA,Yes,50.812713,-0.451477,509193,102605,TQ091026,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5JB,Yes,50.811395,-0.451094,509223,102459,TQ092024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5JD,Yes,50.811964,-0.452609,509115,102520,TQ091025,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5JE,Yes,50.811742,-0.451509,509193,102497,TQ091024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5JF,Yes,50.812499,-0.452279,509137,102580,TQ091025,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5JG,Yes,50.811418,-0.452187,509146,102460,TQ091024,"Ferring","Ferring",1980-01-01,,9,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5JH,Yes,50.81085,-0.453369,509064,102395,TQ090023,"Ferring","Ferring",1980-01-01,,5,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5JJ,Yes,50.810878,-0.452815,509103,102399,TQ091023,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031423,"Arun 008C"
BN12 5JL,Yes,50.813616,-0.449019,509364,102709,TQ093027,"Ferring","Ferring",1980-01-01,,8,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5JN,Yes,50.815618,-0.447434,509471,102934,TQ094029,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
BN12 5JP,Yes,50.815475,-0.446761,509519,102919,TQ095029,"Ferring","Ferring",1980-01-01,,7,England,2020-06-03,"Within the building of the matched address closest to the postcode mean",E01031424,"Arun 008D"
