,Location,Coordinates,Latitude,Longitude
0,"Hitchin, United Kingdom","Hitchin, Hertfordshire, East of England, England, SG5, United Kingdom",51.9464129,-0.2791646
1,"London, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom",51.5073219,-0.1276474
2,"Clacton-on-Sea, United Kingdom","Clacton-on-Sea, Essex, East of England, England, CO15 1QP, United Kingdom",51.78839970000001,1.1527865
3,"Maldon, United Kingdom","Maldon, Essex, East of England, England, United Kingdom",51.731198,0.6791849
4,"Essex, United Kingdom","Essex, East of England, England, United Kingdom",51.77046785,0.4646697741230039
5,"Gosport, United Kingdom","Gosport, Hampshire, South East, England, United Kingdom",50.795207399999995,-1.1210853
6,"Westgate-on-Sea, United Kingdom","Westgate-on-Sea, Kent, South East, England, CT8 8RF, United Kingdom",51.3815773,1.3372108
7,"Lowestoft, United Kingdom","Lowestoft, Suffolk, East of England, England, NR32 1HA, United Kingdom",52.476630799999995,1.7537638
8,"Buckinghamshire, United Kingdom","Buckinghamshire, South East, England, United Kingdom",51.783499400000004,-0.8946440535649794
9,"Tamworth, United Kingdom","Tamworth, Staffordshire, West Midlands, England, United Kingdom",52.6345819,-1.6948438000000001
10,"Hertford, United Kingdom","Hertford, Hertfordshire, East of England, England, SG14 1EZ, United Kingdom",51.7957409,-0.07852100000000001
11,"Bromley, United Kingdom","Bromley, London, Greater London, England, BR1 1EY, United Kingdom",51.4028046,0.0148142
12,"Banbury, United Kingdom","Banbury, Station Road, Banbury, Cherwell, Oxfordshire, South East, England, OX16 5AB, United Kingdom",52.06057120000001,-1.3277563000000001
13,"Warrington, United Kingdom","Warrington, North West England, England, WA1, United Kingdom",53.389949699999995,-2.5943178
14,"Nottingham, United Kingdom","City of Nottingham, East Midlands, England, United Kingdom",52.9534193,-1.1496461
15,"March, United Kingdom","March, Fenland, Cambridgeshire, East of England, England, PE15, United Kingdom",52.55059960000001,0.0880189
16,"Berkshire, United Kingdom","Berkshire, South East, England, United Kingdom",51.4534889,-1.0318729593399247
17,"Morden, United Kingdom","Morden, London Road, Morden, London Borough of Merton, London, Greater London, England, SM4 5BE, United Kingdom",51.4027615,-0.19475520000000002
18,"Boston, United Kingdom","Boston, Lincolnshire, East Midlands, England, United Kingdom",52.97704079999999,-0.023983599999999997
19,"Bognor Regis, United Kingdom","Bognor Regis, Arun, West Sussex, South East, England, United Kingdom",50.7834973,-0.6730718000000001
20,"Horsham, United Kingdom","Horsham, West Sussex, South East, England, United Kingdom",51.0630273,-0.3295028
21,"Christchurch, United Kingdom","Christchurch, South West England, England, BH23 1LJ, United Kingdom",50.7344198,-1.76512
22,"Salisbury, United Kingdom","Salisbury, Wiltshire, South West England, England, United Kingdom",51.0796895,-1.8074237640795872
23,"Bexhill-on-Sea, United Kingdom","Bexhill-on-Sea, Rother, East Sussex, South East, England, TN39 3PE, United Kingdom",50.8424384,0.4675723
24,"Birmingham, United Kingdom","Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom",52.479699200000006,-1.9026911
25,"Biggleswade, United Kingdom","Biggleswade, Central Bedfordshire, East of England, England, SG18 0PR, United Kingdom",52.08820120000001,-0.2589013
26,"Eastleigh, United Kingdom","Eastleigh, Hampshire, South East, England, United Kingdom",50.9202217,-1.2992763684882789
27,"Reading, United Kingdom","Reading, South East, England, RG1 1DA, United Kingdom",51.456659,-0.9696511999999999
28,"Southampton, United Kingdom","Southampton, South East, England, SO14 2BY, United Kingdom",50.9025349,-1.404189
29,"Isle of Wight, United Kingdom","Isle of Wight, South East, England, United Kingdom",50.6710482,-1.332711113319946
30,"United Kingdom, United Kingdom",United Kingdom,54.70235450000001,-3.2765752999999997
31,"Great Yarmouth, United Kingdom","Great Yarmouth, Norfolk, East of England, England, United Kingdom",52.6072426,1.7310768
32,"Whitstable, United Kingdom","Whitstable, Kent, South East, England, United Kingdom",51.36062860000001,1.0240626
33,"Fulwood, United Kingdom","Fulwood, Sheffield, Yorkshire and the Humber, England, S10 3RN, United Kingdom",53.365013399999995,-1.5432431
34,"Bembridge, United Kingdom","Bembridge, Isle of Wight, South East, England, PO35 5XL, United Kingdom",50.6887044,-1.0849341000000001
35,"Leyland, United Kingdom","Leyland, Moss Lane, Turpin Green, South Ribble, Lancashire, North West England, England, PR25 4XA, United Kingdom",53.698564399999995,-2.686555
36,"Cheltenham, United Kingdom","Cheltenham, Gloucestershire, South West England, England, United Kingdom",51.8995685,-2.0711559
37,"Kent, United Kingdom","Kent, South East, England, United Kingdom",51.247482299999994,0.7105077
38,"Warwickshire, United Kingdom","Warwickshire, West Midlands, England, United Kingdom",52.32130635,-1.5467857874161073
39,"Bexley, United Kingdom","Bexley, London Borough of Bexley, London, Greater London, England, DA5 1LD, United Kingdom",51.4416793,0.150488
40,"West Wycombe, United Kingdom","West Wycombe, Buckinghamshire, South East, England, HP14 3AB, United Kingdom",51.6448823,-0.8022534
41,"Binfield, United Kingdom","Binfield, Bracknell Forest, South East, England, RG42 4NZ, United Kingdom",51.4321099,-0.7913628
42,"Felixstowe, United Kingdom","Felixstowe, Suffolk, East of England, England, United Kingdom",51.9639098,1.3515106000000001
43,"Turners Hill, United Kingdom","Turners Hill, Mid Sussex, West Sussex, South East, England, RH10 4PT, United Kingdom",51.103701,-0.0851164
44,"High Wycombe, United Kingdom","High Wycombe, Buckinghamshire, South East, England, United Kingdom",51.627421999999996,-0.7484153
45,"Northamptonshire, United Kingdom","Northamptonshire, East Midlands, England, United Kingdom",52.25,-0.833333
46,"Norwich, United Kingdom","Norwich, Norfolk, East of England, England, United Kingdom",52.62860600000001,1.29227
47,"Benalmadena, Spain","Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, España",36.594519,-4.572284
48,"Addlestone, United Kingdom","Addlestone, Surrey, South East, England, United Kingdom",51.3710908,-0.48956750000000004
49,"Cheshunt, United Kingdom","Cheshunt, Broxbourne, Hertfordshire, East of England, England, EN8 9BW, United Kingdom",51.702052,-0.033590800000000004
50,"Chelmsford, United Kingdom","Chelmsford, Essex, East of England, England, United Kingdom",51.7345436,0.4724544
51,"Bournemouth, United Kingdom","Bournemouth, South West England, England, BH1 2BU, United Kingdom",50.7194784,-1.8767711999999999
52,"St Austell, United Kingdom","St. Austell, London Apprentice, Cornwall, South West England, England, United Kingdom",50.338466,-4.7882104000000005
53,"Lancing, United Kingdom","Lancing, Adur, West Sussex, South East, England, United Kingdom",50.82586660000001,-0.32255100000000003
54,"Braintree, United Kingdom","Braintree, Essex, East of England, England, United Kingdom",51.87806370000001,0.5537161
55,"Camberley, United Kingdom","Camberley, Surrey, South East, England, GU15 3SA, United Kingdom",51.3392845,-0.7460981
56,"Farnborough, United Kingdom","Farnborough, Hampshire, South East, England, GU14 7JT, United Kingdom",51.291869299999995,-0.7539836
57,"Stevenage, United Kingdom","Stevenage, Hertfordshire, East of England, England, United Kingdom",51.903509899999996,-0.20133679999999998
58,"Portsmouth, United Kingdom","Portsmouth, South East, England, PO1 5QH, United Kingdom",50.8036831,-1.0756139999999998
59,"Wickford, United Kingdom","Wickford, Essex, East of England, England, SS11 8BD, United Kingdom",51.6124948,0.5234742
60,"Heybridge, United Kingdom","Heybridge, Essex, East of England, England, CM9 4AJ, United Kingdom",51.7423283,0.6913195
61,"Milton Bridge, United Kingdom","Milton Bridge, Auchendinny, Midlothian, Scotland, EH26 0NS, United Kingdom",55.8504991,-3.1969790000000002
62,"Barking, United Kingdom","Barking, London, Greater London, England, IG11 8NL, United Kingdom",51.5389922,0.0804245
63,"East Horsley, United Kingdom","East Horsley, Surrey, South East, England, KT24 6QQ, United Kingdom",51.2766115,-0.43437709999999996
64,"Weston-super-Mare, United Kingdom","Weston-super-Mare, North Somerset, South West England, England, BS23 1SL, United Kingdom",51.3471927,-2.9778916
65,"Basingstoke, United Kingdom","Basingstoke, Basingstoke and Deane, Hampshire, South East, England, United Kingdom",51.262826000000004,-1.0861976
66,"Evesham, United Kingdom","Evesham, Worcestershire, West Midlands, England, WR11, United Kingdom",52.0940158,-1.9483082999999999
67,"Surrey, United Kingdom","Surrey, South East, England, United Kingdom",51.271531599999996,-0.3414523511290909
68,"Truro, United Kingdom","Truro, Kea, Cornwall, South West England, England, United Kingdom",50.2627515,-5.0520467
69,"Darlington, United Kingdom","Darlington, North East England, England, DL1 5QQ, United Kingdom",54.5242081,-1.5555812
70,"Borehamwood, United Kingdom","Borehamwood, Hertfordshire, East of England, England, WD6 5HL, United Kingdom",51.660486299999995,-0.27065059999999996
71,"Watford, United Kingdom","Watford, Hertfordshire, East of England, England, United Kingdom",51.6553875,-0.3957425
72,"Dorset, United Kingdom","Dorset, South West England, England, United Kingdom",50.79683685,-2.34473226124306
