,Name,Category,Town,Type,Contributions,Title,Review,Rating,Date,LocCode,Cuisine,Score
0,Fish & Chips,Food,Bognor, Fast Food/Takeaway,56,Questionable practice of 'Cash only',"No indication it was 'cash only', and why - a family of six to pay cash is highly irregular in this day and age. This was a meal inside the establishment and with bills that don't even have the shop name on, would question this practice. Let's hope tax is paid in full by the owner and not a repeat Pret A Manger practice.
Gherkins at £1 each was an absolute disgrace. We were assured they were huge and indeed the ones in the jar on the counter were. Whereas, we were served gherkins no more than 3"" in length and 1"" in diameter tops and were charged £1 each. Rip off Britain certainly applies here.
Fish was freshly cooked and ok but chips were dry.",2,1.0,2.0,Seafood,1
1,Ocean Hotel & Spa,Accommodation,Bognor,Hotel,11,Disgustingly dirty rooms!!,"We visited for a family break in July with 2 young children. As Butlins prides itself on catering for family’s especially with its ‘tots breaks’ we expected the accommodation to be clean. On arrival in our room we noticed hair in the toilet, hair in the bath, carpet looked like it hadn’t been touched with a Hoover, thick dust on the phone and tv (clearly not been cleaned for ages) you could leave finger prints in the dust!! filth all over the coffee tray and filth in the fridge, dust and grime around the edges of the floor and sliding door, some disgusting bit of muck on the sink! we have never complained before to a hotel but the standard was poor and made us feel dirty just looking at it! The manager was very good and moved us to the service recovery room. This at first glance appeared a lot better. Then in the children’s room there was thick dust on the windowsill, the remote for the children’s tv had the batteries held in by 2 plasters which is ridiculous!! ..a hair clip, 1p piece and small bouncy ball had all be overlooked when cleaned and my one year old grabbed 2 of these items off the floor!
The lifts are crazy, you stand there for ages and when one does arrive you can’t fit in. When I put in a letter of complaint I was told the lifts are fit for the amount of guests but I wonder if they have actually considered how many of their guests have young children in buggy’s! In my opinion and many of the people we talked to in the que It would seem not! When I wrote a letter of complaint they took little responsibility for the state of the rooms and stated that they had a ‘resolve on site policy’, having already wasted time moving from the filthy room to the ‘service recovery room’ which was still dirty I would wonder why they would think I would bother complaining more on site. Surely the service recovery room is as good as it gets! All in all I wouldn’t bother with this hotel especially as Butlins are not prepared to take responsibility for their issues and effectively blame their guests for not wasting more of their holiday time complaining about what should never have been an issue in the first place!",2,3.0,2.0,0,1
2,Butlers,Food,Arundel, Restaurant,14,Clearly very cliquey - no gluten free bread!,"We came here on a Sunday and enjoyed a lovely Sunday roast - really delicious and great roast potatoes.
The only problem was the service received - the restaurant clearly has a lot of loyal customers that are very kissy kissy with the female manager. This is fine and is typically a sign of a good restaurant - however it isn’t great when you are treated differently to them. For example, on arrival we asked for a cock tail menu and were told no cocktails on a Sunday. I have been before just for drinks on a Sunday and enjoyed an espresso martini and also a pornstar martini so was surprised to hear they weren’t available. I then noticed the table next to us had almost empty pornstar martinis (including the Prosecco glass) and the table that arrived after us (kissed the manager) and were given cocktails...
The staff weren’t very attentive even leaving our empty glasses on our table for the duration of the meal, we were practically stacking them at the end. Our plates took ages to clear also.

They don’t have gluten free bread which is quite unacceptable these days with over 1 in 100 people affected by a gluten intolerance or allergy so I watched my husband enjoy his bread whilst I waited for my starter...

I wouldn’t rush back but I did enjoy the food - well done to the kitchen!",2,2.0,2.0,Other,1
3,Black Rabbit,Food,Arundel, Pub/Bar,173,Lovely traditional comfort food. ,"Picturesque setting beside the river and worth the drive to the restaurant/pub.
The Black Rabbit is a great place to get fresh, traditional comfort food.
The menu is comprehensive and they also have a number of specials on offer.
The food is fresh, cooked to order and served hot.
The restaurant wasn’t too busy so service was swift, efficient and timely. The staff were all friendly and very helpful.
The setting/interior was perfect for a dark, wet winters evening. It’s very warm and welcoming.
Great value for money too! Definitely worth a visit.",5,1.0,2.0,British,0
4,Fish & Chips,Food,Bognor, Fast Food/Takeaway,2,4 groups of people from coach trip overcharged... be warned...,"4 groups of pensioners from a coach trip were over charged, how low, or shall I say how high can they go. Disgraceful !!",1,3.0,2.0,Seafood,1
5,BailiffsCourt Restaurant,Food,Littlehampton, Restaurant,11,Perfection ,"We spent a Saturday here and the night and Sunday breakfast and lunch .... each and every minute was wonderful from arrival morning coffee to lunch in the garden to dinner in the restaurant followed by breakfast in bed and to Sunday lunch . I am a coeliac so need to eat gluten free , this was NO PROBLEM here I missed out on nothing at all .
Coffee in one of the beautiful cosy lounges was HOT AND FULL OF FLAVOUR served with homemade cookies for my husband which he said were fabulous , and a wedge of lemon drizzle cake for me ... gluten free ...
sandwiches for lunch along with a couple of
G n T’s in the garden in beautiful sunshine , extremely relaxing .
Pre dinner drinks and nibbles then into dinner , candlelight , cosy , GREAT food , service , choices , everybody all spread around the restaurant so not sitting on top of each other .
Breakfast in bedroom ... extensive menu hot and cold , choose what you like and time slot . All hot when arrived and totally on time with hot coffees too .
All sofas in lounges are comfy and squishy , and plenty of them .
Bedroom we had was in main house and large , had everything we could possibly need , extremely clean , plenty of towels, bathrobes , fireplace , massive bed very comfy .
All staff we had contact with were very friendly and professional.
All in all a fab weekend in a great hotel by the sea and the countryside , we will definitely return .",5,3.0,2.0,British,0
6,Cardanom Bay,Food,Bognor, Restaurant,103,"Worst service ,rude staff","We visited as a group of 6 , table was booked weeks in advance for 8pm , arrived table not ready , we said we will go off and come back which we did , 30 minutes later table was ready . Waiter quickly took drinks order , left leaving no menus . Eventually brought menus , ordered food and waited hour and half for “complimentary starter” . Asked when main course would be served was told another hour , 2 1/2 hour wait for food was a bit extreme especially as Resturant had emptied in the time we had sat and waited, by that point we had all lost the will to live , and were all starving so left .
Will never recommend this restaurant or use them again .
Food might get good reviews , but no good if can’t back it up with good service.",1,2.0,1.0,Indian,1
7,"Papa Johns, Butlins",Food,Bognor, Fast Food/Takeaway,4,Great service! Fab food! Just needs updating.,"We sat with our 4 over hungry boys that just seemed to want to argue over the menu! The situation soon diffused by the lovely calm Chloe! She gave us guidance on what to choose, she was no only helpful but her manner and overall service made our evening far more pleasant than I thought when we say down.

My meal, chicken chorizo pasta was delicious and boys loved their pizzas!

Lost 1 star because visited the same restaurant 8 years ago and it's desperate for a refit, dated, canteen feel and a bit grumpy!

However, thank you Chloe for all your patience.",4,2.0,0.0,Italian/Pizza,0
8,Butlers,Food,Arundel, Restaurant,68,A welcome return,"I first went to this gem of a restaurant around 16/17 years ago and would be a regular visitor until I moved away from the area. The restaurant has since been refurbished - very tastefully - and has the benefit now of an outside seating area which, on the particular weekend we went, was great as we could sit outside with our drink and enjoy the warm evening.

There were four of us this particular evening. I had tomato soup with basil oil, my husband had king prawns (a large portion and very delicious!), my friend had pate and her partner had crab cakes. For main, I had chicken served with cabbage and potato lyonnaise whilst the other three all had lamb which was beautifully tender and well cooked. Two of us had salted caramel tart served with milk ice cream and another had cheese. The tart was delicious!

I was happy to see that the same family are still running the restaurant after all these years and the staff were all pleasant and discreet when serving.

Looking forward to returning on our next trip to the area!",5,2.0,2.0,Other,0
9,Best Western Bognor,Accommodation,Bognor,Hotel,116,Good location right by the sea.,"Goodto be able to park very close to the hotel.Reception staff excellent, friendly and helpful. Room with sea view very good. Breakfast excellent, nice to be able to sit outside and finish of our breakfast tea.
Read less",5,3.0,2.0,0,0
