,Name,Category,Town,Type,Contributions,Title,Review,Rating,Date,LocCode,Cuisine,Score
0,Butlins,Accommodation,Bognor,Hotel,2,Disappointing,"Took my little girl to see the ‘Amazing Animals’ 3D show, with a title like that I expected maybe safari animals or animals in the jungle or Antarctica or something. Turns out it’s actually about the worlds most venomous creatures where they had 3D wasps buzzing about, a snake biting at the audience, a shark attacking the audience, jellyfish which come down from the ceiling where the audience are warned ‘they will sting you’ amongst other things. It ends with a gorilla coming out and then chasing the hosts through a door where they could be heard screaming as they are being attacked. Before each venomous creature comes on there’s a rather loud scary alarm that goes off which freaked my daughter out each time it came on. Obviously it’s not real but my daughter was absolutely terrified and was screaming and crying, she was traumatised. There were a lot of kids there who were also screaming and sobbing and trying to hide from it all.
I went to complain to the staff after who were not at all bothered by the sight of my sobbing and traumatised daughter. I got told lots of kids love it and it does state not suitable for under 5’s. But if I had any idea it was about dangerous and venomous creatures I’d never have taken my daughter in. It’s not suitable for kids at all, it’s frightening and unnecessary. They could have made it into a lovely film about animals and been educational too. But the aim is to absolutely terrify children. You have been warned. My little girl had awful nightmares last night since we saw it.
Most of the staff are rude and unfriendly. A lot of places there either close early or don’t open at all for half the week.
Read less",2,2.0,2.0,0,1
1,White Swan Arundel,Accommodation,Arundel,Hotel,3,Brilliant,"Came for dinner a few weeks ago. Lovely, cosy pub. The food was great, I am vegan and there was more than one option for me which was awesome! Staff were brilliant too, attentive but chilled! Great experience all round!
Read less",5,1.0,2.0,0,0
2,Avisford,Accommodation,Arundel,Hotel,0,Easter Sunday Roast Lunch,"Don’t go there. 7 of us went for a family Easter Sunday lunch. Waited an hour for starters and a further 45 mins for the main course to be delivered. Roast lamb tough, no mint sauce brought to table.
Chicken cold and dry. Pork and beef fair. No horse radish sauce delivered.
Roast potatoes raw and had a blow torch to apply bit of a sun tan. Cabbage boiled since yesterday. Didn’t bother to stay for pudding.
Read less",1,2.0,2.0,0,1
3,Butlins,Accommodation,Bognor,Hotel,8,Get me home,"Got off to a horrific start when i arrived early ( as it says online i can) to use facilities.no can do, as nowhere to put luggage.( non drivers please note!). Then after queuing was singled out for security check. Says random, but was already written in bold letters on my paperwork) needed photo id, which i wasnt told when booking over phone. Then they wanted the bank card id used to pay to verify i hadn't used stolen card. This is after 18 previous visits over the years! When got into accommodation tv didnt work. Called the number left to report problems- message said service not available! Entertainment very limited throughout day. No 'party dances' of an evening. Shows have an hour between them, leaving you the option of using arcades and losing your seat, or sit twiddling thumbs.....so mich more to complain about i could fill a book. Do not come here. Get on a plane and go somewhere exciting ( and much much cheaper)
Read less",1,2.0,2.0,0,1
4,Inglenook,Food,Bognor, Pub/Bar,484,Great real ale pub,"We visited Pagham and had to visit the Inglenook ,always a good selection of ales at a very fair price ,you must visit .",4,2.0,2.0,British,0
5,Sen,Food,Bognor, Restaurant,24,Excellent value,"Went with my sister, fantastic food, lovely staff, good value. Prawns were a highlight! Only complaint would be that the rice portion was tiny- all other portions were a good size.",5,4.0,0.0,Other,0
6,Butlins,Accommodation,Bognor,Hotel,16,Great service from Julie Vincent,"I check in for 2000s weekend
& Julie Vincent serve me she was very nice, helpful and information given to me was very good. Keep up the great service to me and every other person who walks into the 3 main butlins,
Now I have a good impression on bognor regis butlins.
Read less",5,4.0,0.0,0,0
7,Arundel Castle,Attractions,Arundel,Historical/Culture,15,Visit to Arundel Castle,"We visited Arundel Castle while on a short break, it was on my 60th birthday, My mobility is limited & walk with a stick, I was a bit worried how I was going to get around , but I needed of worried as there are staff in buggies to take you up the steep hills, all staff we encountered were very friendly & helpful, the gardens & the chapel were worth a visit .
Read less",5,4.0,2.0,0,0
8,Agmering Manor,Food,Littlehampton, Restaurant,2,Impressed so returned a second visit,"Village hotel venue, with a very good restaurant and excellent service and value for money. Open to non residents, so perfect for mid week treat, Thursday French dining, or Sunday Lunch",4,4.0,0.0,British,0
9,Pub & Kitchen,Food,Bognor, Pub/Bar,2,Great meal and service by Anna,"My wife and I recently ate here for an evening meal for the first time and we had a super time. The food was delicious and delivered promptly. Really surprised at the high quality of food and service given how busy they were. Our waitress, Anna, was welcoming from the start, cheerful and attentive throughout. Anna knew the menu very well and gave thoughtful recommendations based upon our requirements. We cannot wait to go back soon.",5,4.0,0.0,British,0
10,The Lion,Food,Bognor, Pub/Bar,53,Lovely pub with open fire and friendly staff,"Eight of us met here at 12.30 for a Friday lunch to start a weekend on the south coast. Parking was easy this early and the staff here are very helpful and friendly. The only problem we had was that our table was in the far left hand corner of the pub and it hadn't warmed up yet so we sat for the first half an hour with our winter coats on - less than ideal. The food overall was pretty good... we all enjoyed what we had chosen and nothing was sent back for any reason (my girlfriend had the fish and chips for £9 which was a good sized portion if ever so slightly overcooked while the liver and bacon was very good with plenty of gravy).
When we wanted another beer or bottle of wine our waitress brought them over pretty quickly despite it beginning to get busy in there.
So the main question I always ask myself is would I go again and the answer is yes, we'll meet up there next year to start our annual south coast weekender with our group of friends.",4,1.0,2.0,British,0
11,Robin Hood,Food,Bognor, Pub/Bar,18,"Food..Cold, Stale","Food and service was so poor..
Rude staff, never been to such a poor place. A shocking experience for all six of us..Such a let down..",1,2.0,2.0,British,1
12,Robin Hood,Food,Bognor, Pub/Bar,5,Lunch meet up ,"Great selection of good food in a comfortable relaxing atmosphere, in the hamlet of Shripney. I would recommend it for it's a friendly place to meet.",4,2.0,1.0,British,0
