,Accuracy,Precision,Recall,F1,F2,ROCAUC,PRAUC
Support Vector Machine TFIDF BIG,0.9693486590038314,0.9621212121212122,0.9769230769230769,0.9694656488549619,0.9739263803680982,0.9951262477980035,0.9952102686768115
Support Vector Machine TFIDF,0.9655172413793104,0.9618320610687023,0.9692307692307692,0.9655172413793103,0.9677419354838709,0.9944216089254257,0.994467779169292
Logistic Regression TFIDF BIG,0.9655172413793104,0.9618320610687023,0.9692307692307692,0.9655172413793103,0.9677419354838709,0.9935408103347035,0.9932058210856405
Logistic Regression TFIDF,0.9655172413793104,0.9548872180451128,0.9769230769230769,0.9657794676806083,0.9724349157733538,0.993364650616559,0.9930057394581535
Multinomial NB TFIDF BIG,0.9693486590038314,0.9552238805970149,0.9846153846153847,0.9696969696969696,0.9785932721712538,0.9920728126834998,0.9910973581000598
Multinomial NB TFIDF,0.9616858237547893,0.9545454545454546,0.9692307692307692,0.9618320610687022,0.9662576687116565,0.991779213153259,0.9901571280571606
Multinomial NB FP BIG,0.9693486590038314,0.9552238805970149,0.9846153846153847,0.9696969696969696,0.9785932721712538,0.9907222548443922,0.9897905781841321
Support Vector Machine BIG,0.9386973180076629,0.9384615384615385,0.9384615384615385,0.9384615384615385,0.9384615384615383,0.9899588960657663,0.9899978006346946
Logistic Regression FP BIG,0.946360153256705,0.953125,0.9384615384615385,0.9457364341085271,0.941358024691358,0.989489136817381,0.9902885989974927
Multinomial NB BOW,0.9616858237547893,0.9545454545454546,0.9692307692307692,0.9618320610687022,0.9662576687116565,0.989078097475044,0.98618887449147
Support Vector Machine BOW,0.9310344827586207,0.917910447761194,0.9461538461538461,0.9318181818181818,0.9403669724770642,0.9888432178508515,0.9890337347315541
Logistic Regression FP,0.9386973180076629,0.9453125,0.9307692307692308,0.937984496124031,0.933641975308642,0.9885496183206107,0.9890917153315711
Support Vector Machine FP BIG,0.9386973180076629,0.975,0.9,0.9359999999999999,0.9140625000000001,0.9879624192601293,0.9888129468864864
Logistic Regression BIG,0.9425287356321839,0.9457364341085271,0.9384615384615385,0.942084942084942,0.9399075500770417,0.9877275396359366,0.986755547433481
Multinomial NB BIG,0.9655172413793104,0.9548872180451128,0.9769230769230769,0.9657794676806083,0.9724349157733538,0.98746330005872,0.9836766423684142
Multinomial NB FP,0.9540229885057471,0.9402985074626866,0.9692307692307692,0.9545454545454547,0.963302752293578,0.9873752201996477,0.9856187769385383
Logistic Regression BOW,0.946360153256705,0.953125,0.9384615384615385,0.9457364341085271,0.941358024691358,0.9870229007633589,0.9856773006114722
Support Vector Machine FP,0.9157088122605364,0.8970588235294118,0.9384615384615385,0.9172932330827067,0.9298780487804879,0.9867880211391662,0.9878885417214407
Random Forest FP BIG,0.9425287356321839,0.967479674796748,0.9153846153846154,0.9407114624505928,0.9253499222395022,0.9867293012331181,0.9875711302924435
Random Forest TFIDF,0.9348659003831418,0.937984496124031,0.9307692307692308,0.9343629343629343,0.9322033898305085,0.9852319436288902,0.9861470471576259
Random Forest BOW,0.9233716475095786,0.9166666666666666,0.9307692307692308,0.9236641221374045,0.9279141104294478,0.9846153846153846,0.9853198931281487
Random Forest BIG,0.9348659003831418,0.924812030075188,0.9461538461538461,0.935361216730038,0.9418070444104135,0.9844685848502642,0.9861498223707064
Random Forest FP,0.9425287356321839,0.9323308270676691,0.9538461538461539,0.9429657794676807,0.9494640122511485,0.9840869054609512,0.9824820021526977
Random Forest TFIDF BIG,0.9233716475095786,0.9166666666666666,0.9307692307692308,0.9236641221374045,0.9279141104294478,0.9821491485613624,0.9817762782696599
