,Name,Category,Town,Type,Contributions,Title,Review,Date,LocCode,Cuisine,Score
245,Trevali Buest House,Accommodation,Bognor,B&B/Inn,315,Central B & B,"We had room 6, excellent view, we could see the sea from here. There are 8 rooms, the 2 top floor ones are singles. We were told that most of the occupancy was given over to workmen who are digging up part of Butlins to put in a new swimming pool and accomodation. Parking could be a problem, but Alison gave us some permits to sort us out, thankfully. Very good breakfast, but when did hash browns come into an English breakfast? They are just about edible! No bubble and squeak? Black pudding?
Room was very clean, But the shades of green decor was a bit off-putting - lime green armchairs are not my thing!
Not cheap, but very near Butlins and the High Street.
Decide for yourself.",1.0,2.0,0,0
209,Sea View,Accommodation,Littlehampton,Hotel,50,Not what it used to be...,"We lived in the area for 25 years and in fact, my daughter worked at The Seaview bar some years ago when she was a student. We always sent visitors there when our house was full, it was our preferred local hostelry.
So it wasn't surprising we booked a room for 4 nights at The Seaview when we went back last week, and sent them a message through the booking site advising we would be bringing our dog (they are listed as dog friendly on the site).
When booking in, my wife was rather surprised to be told they were not going to accept dogs in future. We were also told the room had no furniture (?) as the dog was staying - we were glad it had 2 beds... - and basically, please pay upfront and don't come back.
The rate included breakfast and I ordered a cooked breakfast and my wife asked for a boiled egg - the lady said: ""We don't do boiled eggs."" so she had toast. When we returned the beds were un-made and the bathroom wasn't cleaned nor towels replaced. The hot water was temperamental - on and off - and an American lady told my wife during breakfast that she had to wash her hair in cold water. She wasn't pleased...
The next day we asked for the bathroom to be cleaned, and it was; but do we need to ask?
We were sorry to see the Seaview like this. We were not made welcome and Beth, the Labrador, and us will not be returning (even if we could)...",2.0,2.0,0,1
28,Butlins,Accommodation,Bognor,Hotel,28,Easter Break 5 days at Bognor,"Stayed in Rockpool x2 apartments (Gold with house-keeping.) Clean, tidy and warm and surprisingly quiet at night. Kids loved the Easter animals and egg hunt. But our main reason for changing to a spring break instead of a summer one was the new pool ! The Grandchildren wanted to try it first ,so we did in the week it opened ! They loved it and there was a lot more to keep the little one entertained he loved the boats. Going back in October !
Read less",2.0,2.0,0,0
365,St Mary's Gate,Accommodation,Arundel,B&B/Inn,49,Fantastic pub inn tucked away at top of Arundel high stree,"Lovely pub. Friendly helpful staff. Great food, especially breakfast The breakfast is a good generous size and the sausage very tasty. We had the family room, it is spacious and very clean. The room could do with an update though as it’s looking tired. The larger bed was tired and the base was stained but mattress was comfy and bedding fresh. There was a large tear in the quilt cover on the single bed. The window is extremely heavy and bolts to keep it gapped. Needs two people to lift and bolt. The window in the bathroom is right next to the beer garden, so bear this in mind when you are naked from the shower/ bath! Can’t leave open when not in room for security reasons. Bathroom quite mouldy and grout could do with a scrub. However, bathroom was clean and fresh. Both bathroom and bedroom got refreshed everyday. Would be good to have a safe in the room for valuables.",3.0,2.0,0,0
389,Avisford,Accommodation,Arundel,Hotel,3,Charging top prices for low quality food,"Had the buttermilk chicken burger from the pub menu. The chicken steaklets were clearly over cooked. They definitely were not freshly prepared and likely bought in bulk at an Iceland store. Same goes for the french fries. This would be all good and well for the local pub. This is however a Hilton restaurant charging £15 for a low quality burger. My advice would be to go elsewhere, no matter how hungry you might be.
Read less",3.0,2.0,0,1
288,Royal Norfolk,Accommodation,Bognor,Hotel,24,Food horror show,"Just arrived back from 5 day holiday at The royal norfolk,breakfast is fine,BUT avoid evening meals at all costs.Every dish was served with disgusting roasted veg,bland and tasteless consisting of corgette sultanas too name a couple! !!!!!!!On way home had packed lunch £4.75 which consisted of one slice of ham,salad i.e. a piece of wilted lettuce,a can of pop,and ready salted crisps (no choice )",3.0,2.0,0,1
203,Avisford,Accommodation,Arundel,Hotel,3,Filthy and Worn Out,"We booked a suite for two nights (having looked at the beautiful photos on the website) and had invited family to have afternoon tea the following afternoon and again for lunch on the Sunday. The hotel looked very impressive as we drove up. Check in was fine - they acknowledged my Hilton Honors membership and gave us some sweets for our son. As soon as we started to go to our room you could see that the carpets were filthy. The stair surrounds were disgusting and looked like they all needed a good scrub with soap and water and the handrails were really sticky. The carpet and upstairs was no better. Stains everywhere and had ripples in it where it had stretched. It literally looked like it hadn’t been vacuumed for a month. The walls were marked and scuffed and the doors looked grubby. The suite was a joke. The carpet was sticky and the room smelt dreadful! A room with a pull out sofa bed that was made up so nowhere to sit, and the facing wall had a massive damp patch and peeling paint. The bedroom was no better, smelt of damp and didn’t look like it had even been hoovered and the bathroom had an old shower over the bath. Hardly the modern facilities shown on the website. We asked for another suite and were told none available until the next evening. The duty manager offered us a family room which was in the same tatty and run down state and was so small you’d be unable to pass someone by the side of the bed. We were then told that there was a new extension - unfortunately full - which presumably is where the photos were taken. We decided we would leave and stated that it was because the place was filthy and the manager said it was because it is in the process of being renovated. Sorry, but that doesn’t give you carte Blanche to offer minging accommodation. Naturally, given the cleaning of the rooms and public areas, we didn’t want to risk the food so cancelled our bookings. Ruined a family weekend that had been planned as a surprise for relatives not seen for five years. Really disappointed in Hilton on this one.
Read less",4.0,2.0,0,1
398,Norfolk Arms,Accommodation,Arundel,Hotel,224,"Shabby I can take, but not dirty or poor serice","Stayed for two days, two days too many. the room was disgusting, filthy carpet that was literally covered in stains and did not look like it had ben replaced in two decades, if that. Bathroom was tint, grubby and badly fitted. No aircon and window that would not open more than a few inches. The chepo fan that was left in the corner was broken and the TV only had three stations. To cap ot all while it has two Bars, only one is staffed so you have to walk over to the other to get served, no notice to tell you that so we sat and waited for ages before realising and they had run out of ice at 7.00 in the evening, One of the worst Hotels we have stayed in.
Read less",3.0,2.0,0,1
182,Travelodge Littlehampton,Accommodation,Littlehampton,Hotel,12,Family visit,"Visited family in the area, we all gathered for a family birthday, stayed here several times and never disappoints. Staff are friendl, rooms are clean. Ideally situated for family visits. Burger king and subway on site handy for cold drinks and snacks",3.0,2.0,0,0
124,Butlins,Accommodation,Bognor,Hotel,34,A great weekend,"I’ve been to Bognor Regis twice before and I would say it gets better each time I visit.

There was a bit of a hiccup with our accommodation when we arrived. It seemed housekeepers hadn’t cleaned our apartment. However an alternative was quickly found and they gave us vouchers to apologise for the inconvenience.

We stayed in a Seaside apartment. It was clean, loads of room and came with an oven, microwave and fridge. I had previously stayed in a silver apartment, and to be honest they wasn’t a huge amount of difference between them. The seaside apartment was slightly better furnished and used pastel colours to give it a retro beach feel. My only complaint is that they don’t have anywhere for you to hang your wet towels so you ended up putting them over the doors or outside of the window. A clothes horse would easily solve this. We could hear a bit of noise from the people above us however it was bearable (and you expect to hear noise at such a busy time of year).

The splash pool was fantastic. Yes it does get busy so it’s better to get there when the doors open at 9am or late afternoon. The queue for the flume is too long (we had to wait 30 mins for a two minute ride) but there’s loads of other areas - rapids, wave machine, slides - to keep you occupied.

Entertainment is always top notch with loads of choice. There was a massive queue for Stephen Mulhern and we were worried we wouldn’t get a seat but it all turned out fine.

Some of the facilities are looking a bit tired but you can understand that standards can’t be kept top notch during such a busy period. I don’t think I’ve been anyway in he summer hols where it’s looked perfect.

Premium dining was good with a huge choice of food, with some healthy options available.

There’s so much to do, and I think great value for money. My other half had never been before and was impressed. We will be back!
Read less",3.0,2.0,0,0
66,Royal Norfolk,Accommodation,Bognor,Hotel,18,Seen Better Days,"We stayed here for two nights, the double room was extremely small, with a small shower room. Although clean, it was very expensive at £114/night for B&B. The breakfast was dismal, very poorly cooked, especially the scrambled egg, the like of which I have never seen before - looked more like a very bland egg custard! The staff were friendly and very busy - rushed off their feet.",3.0,2.0,0,1
