,OrigInd,Town,Rating,Sentence,cleaned,noun_phrases,nouns,Topic
6,0,Bognor,4,"Nice break, shame about the accommodation... We booked our 3 night stay from 27-30 December as a post-Christmas treat for the family (2 adults, 2 kids, 4 and 5.5 years old).

We’d never been to Butlins before so weren’t really sure what to expect and had read reviews which were either really good or terrible, so just decided to book and make up our own minds – plus it was cheaper at this time of year than our usual choices of either Haven or Centreparcs.

First impressions weren’t good –we arrived and parked in the car park to discover that our ‘apartment’ was the furthest distance away of all the accommodation. Bearing in mind that people in the apartments are obviously self-catering, and will therefore have a ton of stuff to haul to the room, you’d think they’d make some parking available nearer that part of the resort (or at least some temporary parking so you can offload nearer to your room). So, we had to do 2 trips back and forth from one side of the resort to the other, balancing our stuff on the airport-style trollies which had been left scattered around the car park. Not the most relaxing start to the weekend.

The ‘standard apartment’ should maybe get a name change to ‘basic apartment’ as that would more accurately describe it. We made our way to the apartment, located in what I can only describe as rows of very dated apartment buildings, almost prison-like in their style, complete with paint peeling off the outer walls, doors etc. Having got past the other apartments and their new owners for the weekend, most of whom were busily smoking away in the doorways (there are designated smoking areas on the site but these were mostly ignored going by what we saw over the 3 days we were there). We got into the ‘apartment’ (which is pushing it really – ‘bedsit’ might be a better description) and were hit immediately by the smell of tobacco smoke and, in the kids room, the unmistakable smell of weed. The grill in the cooker was partly broken and was hanging down into the oven and there was mildew/mould on the crumbling window sills. No towels were provided (although we already knew this, but it’s still a basic thing that’s provided in most resorts these days). A complaint was made and the grill was eventually fixed although it was only my wife’s decision to bring a scented candle with us that helped with the smell of the place.

The apartment itself is basic, with the usual things you need (plates, cups, cutlery, tea/coffee, toaster etc.), although a cheese grater might have been useful (a minor gripe but still would’ve been good). The floor throughout the apartment was uneven and ‘bumpy’, illustrated by the fact that we put a toy car on the table between the kids’ beds and it rolled all the way off it in 2 seconds. Yes, these buildings really ARE old!

Anyway, from here on things get better, so we just used the apartment as a place to spend as little time as possible and got out and about instead. There are loads of things to do on the resort, with all sorts of entertainment available for the kids throughout the day (arcades, shows, character meets/photo opportunities, playgrounds, outdoor funfair (free), go karts (£6 per car), zipwire etc.) plus the beach (pebbles, no sand) is right outside, to the rear of the site.

The evening entertainment was very good, with the Redcoats’ enthusiasm unwavering – the kids were engaged and entertained on all 3 nights, with their favourite being the animal show on the last night, which was very good and they enjoyed the disco part of the evening too. However, the queues to get in (and therefore to bag the best seats/tables in whichever venue you’re going to in the evening) start early and the die-hards get themselves in the queue about 30 mins or more before doors open at 7pm. If you’re not one of them, you’ll have to be happy with a seat at the back of the big room.

The absolute highlight of the weekend, however, was the swimming pool, including the spacious changing area. You can tell where all the money has been spent lately (god knows it’s not the apartments), as the swimming pool is fantastic. Having two under 6’s, the tallest of which is about 115cm, there was only one slide of the 5 or 6 available that they couldn’t go on (the height limit on the biggest slide is 120cm with a minimum age restriction of 8), which was a very welcome surprise. The slides, including the ‘rapids’ which take you outside (albeit undercover) and then back in were a real hit with our kids – one can swim, the other still needs a buoyancy vest – and they said that was their favourite of the slides. My only note on this would be that on the 2nd day we went in (at the same time of day as the first, around 3.30pm), it was way too busy and the wave pool seemed dangerously overcrowded. However, for all the complaints about other aspects of the resort, I have to be fair here and admit they’ve absolutely nailed this part.

We didn’t try any of the dining out places as we just cooked for ourselves, but the range and number of places available seems to be very good, although the on-site supermarket was very low on things when we went and the prices are a bit steep (they obviously assume you won’t be bothered to go elsewhere) - you’re better off going out to the huge Sainsbury’s a couple of minutes down the road.

So, overall it was a good break based on the fact that the kids had a good time (and as all parents will know, if the kids are happy it makes the holiday so much better). Basically, the accommodation is, at absolute best, basic and just about tolerable. It’s the entertainment and activities which make it (and which made this a 4 star review rather than 3). If they spend some serious money on repairing/updating the apartments and making them and that part of the resort more attractive/liveable, it would make the place so much better.
Read less",apartment basic usual thing need plate cup cutlery tea coffee toaster,basic usual thing need plate cup cutlery tea coffee toaster,"['thing', 'need', 'cup', 'cutlery', 'tea', 'coffee', 'toaster']",RoomFac
9,0,Bognor,4,"Nice break, shame about the accommodation... We booked our 3 night stay from 27-30 December as a post-Christmas treat for the family (2 adults, 2 kids, 4 and 5.5 years old).

We’d never been to Butlins before so weren’t really sure what to expect and had read reviews which were either really good or terrible, so just decided to book and make up our own minds – plus it was cheaper at this time of year than our usual choices of either Haven or Centreparcs.

First impressions weren’t good –we arrived and parked in the car park to discover that our ‘apartment’ was the furthest distance away of all the accommodation. Bearing in mind that people in the apartments are obviously self-catering, and will therefore have a ton of stuff to haul to the room, you’d think they’d make some parking available nearer that part of the resort (or at least some temporary parking so you can offload nearer to your room). So, we had to do 2 trips back and forth from one side of the resort to the other, balancing our stuff on the airport-style trollies which had been left scattered around the car park. Not the most relaxing start to the weekend.

The ‘standard apartment’ should maybe get a name change to ‘basic apartment’ as that would more accurately describe it. We made our way to the apartment, located in what I can only describe as rows of very dated apartment buildings, almost prison-like in their style, complete with paint peeling off the outer walls, doors etc. Having got past the other apartments and their new owners for the weekend, most of whom were busily smoking away in the doorways (there are designated smoking areas on the site but these were mostly ignored going by what we saw over the 3 days we were there). We got into the ‘apartment’ (which is pushing it really – ‘bedsit’ might be a better description) and were hit immediately by the smell of tobacco smoke and, in the kids room, the unmistakable smell of weed. The grill in the cooker was partly broken and was hanging down into the oven and there was mildew/mould on the crumbling window sills. No towels were provided (although we already knew this, but it’s still a basic thing that’s provided in most resorts these days). A complaint was made and the grill was eventually fixed although it was only my wife’s decision to bring a scented candle with us that helped with the smell of the place.

The apartment itself is basic, with the usual things you need (plates, cups, cutlery, tea/coffee, toaster etc.), although a cheese grater might have been useful (a minor gripe but still would’ve been good). The floor throughout the apartment was uneven and ‘bumpy’, illustrated by the fact that we put a toy car on the table between the kids’ beds and it rolled all the way off it in 2 seconds. Yes, these buildings really ARE old!

Anyway, from here on things get better, so we just used the apartment as a place to spend as little time as possible and got out and about instead. There are loads of things to do on the resort, with all sorts of entertainment available for the kids throughout the day (arcades, shows, character meets/photo opportunities, playgrounds, outdoor funfair (free), go karts (£6 per car), zipwire etc.) plus the beach (pebbles, no sand) is right outside, to the rear of the site.

The evening entertainment was very good, with the Redcoats’ enthusiasm unwavering – the kids were engaged and entertained on all 3 nights, with their favourite being the animal show on the last night, which was very good and they enjoyed the disco part of the evening too. However, the queues to get in (and therefore to bag the best seats/tables in whichever venue you’re going to in the evening) start early and the die-hards get themselves in the queue about 30 mins or more before doors open at 7pm. If you’re not one of them, you’ll have to be happy with a seat at the back of the big room.

The absolute highlight of the weekend, however, was the swimming pool, including the spacious changing area. You can tell where all the money has been spent lately (god knows it’s not the apartments), as the swimming pool is fantastic. Having two under 6’s, the tallest of which is about 115cm, there was only one slide of the 5 or 6 available that they couldn’t go on (the height limit on the biggest slide is 120cm with a minimum age restriction of 8), which was a very welcome surprise. The slides, including the ‘rapids’ which take you outside (albeit undercover) and then back in were a real hit with our kids – one can swim, the other still needs a buoyancy vest – and they said that was their favourite of the slides. My only note on this would be that on the 2nd day we went in (at the same time of day as the first, around 3.30pm), it was way too busy and the wave pool seemed dangerously overcrowded. However, for all the complaints about other aspects of the resort, I have to be fair here and admit they’ve absolutely nailed this part.

We didn’t try any of the dining out places as we just cooked for ourselves, but the range and number of places available seems to be very good, although the on-site supermarket was very low on things when we went and the prices are a bit steep (they obviously assume you won’t be bothered to go elsewhere) - you’re better off going out to the huge Sainsbury’s a couple of minutes down the road.

So, overall it was a good break based on the fact that the kids had a good time (and as all parents will know, if the kids are happy it makes the holiday so much better). Basically, the accommodation is, at absolute best, basic and just about tolerable. It’s the entertainment and activities which make it (and which made this a 4 star review rather than 3). If they spend some serious money on repairing/updating the apartments and making them and that part of the resort more attractive/liveable, it would make the place so much better.
Read less",evening entertainment good redcoat enthusiasm unwavering kid engaged entertained night favourite animal show last night good enjoyed disco part evening,evening entertainment good redcoat enthusiasm,"['entertainment', 'redcoat', 'enthusiasm']",Entertainment&Activities
15,3,Bognor,5,"Christmas  Just got home a few days ago from our first Christmas away from home and have to say it was a great time!! I was concerned it wouldn't feel like Christmas but no chance of that happening! Everyone makes a huge effort there to keep the Christmas spirit going the whole time and the extras like the selection boxes, reindeer food and table cloth and crackers in the room were just so lovely.

We stayed in one of the oyster bay apartments which is totally adequate for us, there was 5 of us (2 adults, 2 teenagers and 2 year old) so we had three bedrooms and plenty of space. It's not the Ritz but I didn't pay for that so dont expect it! Was comfortable and clean. The showers are very small but we all managed just fine.

The shows were brilliant, especially the panto on boxing day and we love the new pool!

Thank you butlins for a great time!
Read less",everyone make huge effort keep christmas spirit going whole extra like selection box reindeer food table cloth cracker room lovely,selection box reindeer food table cloth cracker room,"['selection', 'box', 'reindeer', 'food', 'cloth', 'cracker', 'room']",Food
25,9,Bognor,3,"The Butlins experience We previously been to butlins minehead in may 2019 and i loved it.

My parents wanted to go over xmas so my wife and i agreed (we both over 40) even though neither of us celebrate xmas.

We arrived on 23rd december and were greeted with mull wine and mince pie. Check in was effortless we arrived 1pm and our rooms were ready.

We were in silver and rooms were amazing. We didnt have a tv remote and one was provided very fast.

We had food court and the food was good, not amazing. Plenty of variety and glass of wine each night.

Xmas day the staff did the tables up amazing. As stated before we dont celebrate xmas but the amount of effort the staff put in to decorate tables and make us feel welcome was amazing

The staff were amazing. I doubt they wanted to work xmas day etc but they never showed it.

I loved the pool, got busy at times, long queues for raft slide but think the resort was at capacity.

Fireworks were amazing best i have seen very professional.

The added extras at butlins is annoying. Archery £8, go karts £6, pool £6 and list goes on. Wish they did a ""all in"" package

Beer was £4-£5 which is quite reasonable.

We avoided the xmas shows but the other shows were very professional. We had seen them in may as same shows. Hope they change them for next year

My only complaint was that on the late show the redcoats stand in front of the stage. On abba my view was totally blocked all show (i was on the front row). When i complained i was told they have to be there. The redcoat stayed in same spot.

Also the dancefloor is right in front of the stage and we had adults just standing watching the show. My 78 old dad couldn't see anything either.

Ironically on the first evening show children are encouraged to sit down in front of stage or sit with parents.

In minehead they also do this for both shows

I complained direct to butlins via email and they wanted my full name and booking reference for a general feedback.

They also don't control people being loud or drunk which we had on the last night when women behind us sang every single lyric very loudly.

The shows are so professional and this really spoilt it.
Read less",plenty variety glass wine night,plenty variety glass wine night,"['variety', 'glass', 'wine', 'night']",Food
26,9,Bognor,3,"The Butlins experience We previously been to butlins minehead in may 2019 and i loved it.

My parents wanted to go over xmas so my wife and i agreed (we both over 40) even though neither of us celebrate xmas.

We arrived on 23rd december and were greeted with mull wine and mince pie. Check in was effortless we arrived 1pm and our rooms were ready.

We were in silver and rooms were amazing. We didnt have a tv remote and one was provided very fast.

We had food court and the food was good, not amazing. Plenty of variety and glass of wine each night.

Xmas day the staff did the tables up amazing. As stated before we dont celebrate xmas but the amount of effort the staff put in to decorate tables and make us feel welcome was amazing

The staff were amazing. I doubt they wanted to work xmas day etc but they never showed it.

I loved the pool, got busy at times, long queues for raft slide but think the resort was at capacity.

Fireworks were amazing best i have seen very professional.

The added extras at butlins is annoying. Archery £8, go karts £6, pool £6 and list goes on. Wish they did a ""all in"" package

Beer was £4-£5 which is quite reasonable.

We avoided the xmas shows but the other shows were very professional. We had seen them in may as same shows. Hope they change them for next year

My only complaint was that on the late show the redcoats stand in front of the stage. On abba my view was totally blocked all show (i was on the front row). When i complained i was told they have to be there. The redcoat stayed in same spot.

Also the dancefloor is right in front of the stage and we had adults just standing watching the show. My 78 old dad couldn't see anything either.

Ironically on the first evening show children are encouraged to sit down in front of stage or sit with parents.

In minehead they also do this for both shows

I complained direct to butlins via email and they wanted my full name and booking reference for a general feedback.

They also don't control people being loud or drunk which we had on the last night when women behind us sang every single lyric very loudly.

The shows are so professional and this really spoilt it.
Read less",hope change next complaint late show redcoat stand front stage,late show redcoat stand front stage,"['show', 'redcoat', 'stage']",Entertainment&Activities
29,10,Bognor,2,"From our point of view.. It wasn't for us. I am coming at this from a mum of a 3 year old who we usually take to centre parcs.
first off some of the staff were amazing and I hope this review dosen't put the place in much of a bad light, but at the same time let me explain why it was not a good holiday for us.
First of all the ""schedule"" compared to CP yes there are activities which are scheduled... BUT dose the pool have to be so ridged in its times during a tots week? CP are open all day every day with food and drink available... with a swimming mad son... and this being his only really love at the place it gave us little to do the rest of time...
You might be think ahh there are shows.. rides, slot machines, activities, stuff to do around the park... well... Not for us..
Son didn't like the rides, didn't like the shows and the slot machines (which I really wasn't happy with... introduce your child to gambling... emmmmmm...) 30 mins at the most of entertainment. The winter break and constant rain meant we were stuck inside the resort and thus we exhausted the craft activity was left craving to go home. The one show we did take him too ended up scaring him...
He could not go on the big soft play because of the height restriction
The bed was dirty on arrival (They changed it right away)
The pool changing area could have offered overshoes.
We ended up coming home early and little one was sick and then my husband and I came down with it 2 days later...
Having been to CP both UK and Belgium they seem to offer less yet we get so much more out of the holiday. Maybe its because we really don't like that type of entertainment. I have left feedback with them... we had a reply, which they didnt address my issue over the gambling aspect of the site. wont be going there again.
Read less",dose pool ridged time tot week,time tot week,"['time', 'tot', 'week']",Entertainment&Activities
35,17,Bognor,4,"Tots festive break Having visited Butlin’s a few years ago which was great, I had high expectations for our mid week break, our accommodation in the shoreline was really good and suited us as a family. We liked the pool thou the air temperature was a little cold at times, but that couldn’t be helped due to outside temp. It wasn’t overly busy in the afternoon and the changing rooms are lovely an clean.

I do feel there could have been more entertainment on the skyline stage as a lot was repeated during the week and not all children will sit through the shows on the main stage.

I highly recommend eating at the diner as food was fantastic, even thou the waitress could have been better, I felt we was processed rather than served and had a dining experience, but don’t let that stop you for going.

Parts of butlins is starting to look tired but overall still a good experience for children
Read less",tot festive break visited butin year ago great high expectation mid week break accommodation really good suited u family,great high expectation mid week,"['expectation', 'mid', 'week']",FamilyExp
37,19,Bognor,4,"Christmas @ Butlins After being a little apprehensive about staying at Butlins I have to say I have been so impressed. We stayed in a seaside apartment, there was 3 adults and 3 children. The apartment was clean and very comfortable, the decor was nice and the layout was brilliant. Lots of space and not too far from check-in and resort.
There was loads to do for our kids, the Santa experience, shows, activities, restaurants, parks, fairground, it was everything they needed. I like that you didn't have to pay to do extras as with 3 kids it becomes too much for us then. The waterpark is brilliant, we've done lots of water parks and it's probably one of the beast we've been to. The kids loved it and there was things for our 5 year old and 10 year old so good balance. The staff have been brilliant, there is people everywhere; when we arrived we were greeted by people at every corner making sure we knew where to do. They had our pack ready and had organised our times for the Christamas events really well. We asked to change our santa visit and the lady was happy to do that for us. Its fairly busy but it's been managed well. We are very impressed, well done @butlins!
Read less",stayed seaside apartment adult child,seaside apartment adult child,"['apartment', 'adult', 'child']",RoomComf
56,28,Bognor,1,"awful accommodation We booked the Seaside apartment this time having been to another part of the site a year and a half before. My grandson is 3 (one and a half last time) and my daughter thought The Seaside apartments sounded nice - don't be fooled like we were.We went in October half term as my other daughter and grandaughter have a different half term to other areas of the country. When we arrived at the apartment we started to unpack the few groceries we had brought with us - I felt quite queasy as the dining table started to move (unstable). everywhere felt sticky and the veneer (if you can call it that) had started to peel off. My grandson's white socks soon became very dirty and slipper bottoms were tacky. We could hardly get into the bathroom (you almost had to get into the shower to get through the door) and we had to call out maintenance twice as the contents of the toilet and sink would not empty and started to fill up. The outside drains had to be rodded. Our front door would not shut properly on a couple of occasions and the windows of the rooms were very poor - condensation and we could not leave the window on the catch to ventilate and the lounge window hinge was buckled. Our friends also had a similar appartment and they left a day early (there were 3 in their group but 6 in ours). We did have a power cut which took out most of the surrounding area and I have to say the staff in the fish restaurant were a delight and kept reasuring us (fortunately we ordered before the power went off so we got our meal). I have already been in touch with a higher authority to complain but I felt I was being patronised and it was if the lady who responded was pacifing me with answers off a script. There was no offer of compensation only that if we were to go again they could offer a discount (we could probably get that by booking on line anyway). It has totally put me off Butlins and sad to say that my 3 year old grandson will probably miss out on family visits like this in the future - there must be other wonderful sites out there.
Read less",grandson one half last daughter thought seaside apartment sounded nice not fooled like wherewe went october half term daughter grandaughter different half term area country,term area country,"['term', 'area', 'country']",FamilyExp
58,29,Bognor,5,"Electric Dreams Live Music Weekender It was the second time me & my husband have been to this weekend but this yeaf there were less original acts and more tribute bands. Still a fab weekend and we got to see Nick Heyward, China Crisis, Blancmange, Altered Images, Howard Jones, Art of What (which included some original members) & Jimi Somerville perform some of their 80's hits. The tribute bands were good quality. There was DJ's, Disco and a Silent Disco aswell as bars and food outlets. Would definitely recommend to anyone into 80's live music. We also booked a 2 hour slot at the spa which was nice and relaxing but not a very big area.
Read less",tribute band good quality,tribute band good quality,"['tribute', 'band', 'quality']",Food
