,OrigInd,Town,Rating,Sentence,cleaned,noun_phrases,nouns,Topic
6,9174,Arundel,5,"Family day trip from London Had a wonderful day here. Approaching the castle from a distance is amazing and I was surprised at the size and beautIful gardens. I did not go up to the keep which has 130 steps but photos were taken from the top for me to view. There is a golf cart for transporting visitors up the hill to the formal gardens, fountain and church if unable to walk. Well worth the entry fee. Pretty town to wander in but some streets were quite steep.
Read less",family trip london wonderful,family trip london,"['family', 'trip', 'london']",FamilyExp
14,9182,Arundel,4,"Marvellous Place! For a taste of the old world in all its romantic charm, consider a visit to Arundel, in Southern England, and its famous castle. A preserved work of art with beautiful gardens, the castle sprawls across a hilltop with strategic views, looking almost Disney-esque as one approaches the town. The furnished rooms (part of the castle is still occupied by a duke or earl), including a bed that Queen Victoria slept in, preserve a way of life few of us will ever know. The view of the nearby cathedral through the manicured gardens is also a highlight.
Read less",furnished room part still occupied duke earl including bed queen victoria slept preserve way life u ever know,bed queen victoria slept,"['bed', 'victoria', 'slept']",FamilyExp
15,9182,Arundel,4,"Marvellous Place! For a taste of the old world in all its romantic charm, consider a visit to Arundel, in Southern England, and its famous castle. A preserved work of art with beautiful gardens, the castle sprawls across a hilltop with strategic views, looking almost Disney-esque as one approaches the town. The furnished rooms (part of the castle is still occupied by a duke or earl), including a bed that Queen Victoria slept in, preserve a way of life few of us will ever know. The view of the nearby cathedral through the manicured gardens is also a highlight.
Read less",furnished room part still occupied duke earl including bed queen victoria slept preserve way life u ever know,way life u,"['way', 'life', 'u']",FamilyExp
20,9187,Arundel,5,"WOW Visited this beautiful castle in September absolutely loved it we got a ride up to the castle in one of their buggies as the walk up to the castle is fairly steep for anyone with walking difficulties we were dropped off at the castle door excellent.
Inside we were greeted by a very helpful guide who pointed out to us that a lift would take us upstairs to begin our tour we found all the guides to be most helpful and informative they were all a delight to talk to.
The castle is beautifully presented and maintained I couldn’t find a speck of dust and the views from the windows are sublime.
We enjoyed a bite to eat in the restaurant a doorstep bacon sandwich and tea very tasty and served by such happy and pleasant staff.
The gardens are very well kept and a delight to walk round we sat near the glass house for over an hour it was so peaceful the sun was shining which made our day if we lived closer I would be a constant visitor.
Everyone should visit this wonderful place they won’t be disappointed.
Read less",garden well kept delight walk round sat near glass house hour peaceful sun shining made lived closer would constant visitor,glass house hour peaceful sun,"['glass', 'house', 'hour', 'sun']",Walking
22,9188,Arundel,5,"Once again outstanding  Whenever you make your way to Arundel pay a:visit to the castle and gardens. Get the Gold ticket which permits you to the bedrooms as well. I'm not a big fan of museums or visiting old building. But Arundel castle is wonderful. Plan at least two hours to see the castle and the gardens. You can even stay the whole day.
Read less",outstanding whenever make way pay visit garden,way pay visit garden,"['way', 'pay', 'visit', 'garden']",Gardens&Grounds
27,9198,Arundel,5,"Fascinating insight in to British History Had a Golf plus ticket as part of a hotel package. Although the weather wasn't brilliant the visit to the castle and gardens was excellent. Some of the labels could be clearer for those with poor eyesight and I thought the food and drink was a little expensive however overall it was well worth the entry fee. The gardens were beautiful even in late September. Need to be prepared to do a lot of walking up and down stairs to get the full benefit from a visit
Read less",fascinating insight british history golf plus ticket part hotel package,ticket part hotel package,"['ticket', 'part', 'hotel', 'package']",FamilyExp
32,9203,Arundel,5,"Wonderfully preserved castle, well maintained and an interesting visit Went to this venue as a part of a larger tour, so tickets were presented to my wife and I for all the attractions of the castle and gardens. We started by walking up the fairly steep hill to the gardens which were very well laid out with plants, fruit trees and flowers. Unfortunately it was late season and many flowers were past their best but nevertheless there was plenty to please the eye both outside and in the greenhouses. We used a laid-on buggy to transfer to the castle as it is quite a walk. The tour around the different rooms was very good with much to see for all with an interest in history and art. A very worthwhile place to visit.
Read less",wonderfully preserved well maintained interesting visit went venue part larger tour ticket presented wife attraction garden,wife attraction garden,"['wife', 'attraction', 'garden']",Gardens&Grounds
35,9210,Arundel,3,"Knights Event Day with my Grandsons OH! Bit of a disappointment...from the pictures and description on the website we were expecting a lot more! Even when I asked one of the staff where all the Knights were and showed her the event photo from the website she at first said that was a different day but then she realised it was this event said ""Um, no it's only actually a few""!. Maybe the wrong photo was used? The ""crafts show"" was in fact one chap sat at a table with a load of jewelery...the Knights bit was 5 chaps doing a demo of fighting for a couple of minutes 4 times spread out over the whole day. And that was it! My two Grandsons enjoyed the fighting and we walked to the Keep. Beware as there are lots of little narrow steps which are quite tricky to negotiate whilst holding a two year old's hand. We have been to other events at Arundel Castle (without the boys) which have been great and we were expecting this one to be similar. Our boys are 5 and 2 so they didn't realise it was a poor show but we did :-( . Our boys were too young to hang around waiting for the whole day so we left. It won't stop us visiting again as the castle is lovely - but pricey to keep going if the events disappoint.
Read less",i craft showfact one chap sat table load jewelerythe knight bit chap demo fighting couple minute time spread whole,table load jewelerythe knight bit chap demo,"['load', 'jewelerythe', 'bit', 'demo']",FamilyExp
38,9216,Arundel,5,"Well kept and fascinating insights  It’s a really cosy castle, very well kept and tastefully decorated. With staff on hand in every section to answer questions, it’s best to tap into their knowledge. The rooms are well worth visiting and show snapshots of events at the castle from the ages. The gardens are fantastic and also very well kept. Chapeau to the Norfolks.
Read less",room well worth visiting show snapshot event age,show snapshot event age,"['show', 'event', 'age']",FamilyExp
39,9217,Arundel,5,"Tea in the Castle after seeing the BEAUTIFUL Gardens. Recommended to us so we stopped on the way to Gatwick from Southampton. The impressive, well maintained castle set on a hill is the home of the Duke and Duchess of Norfolk. There's a parking lot across the street from the entrance. Our basic Bronze tickets (£13 ea) allowed access to the Fitzalan Chapel, Gardens, Cafe & Gift Shop. Other tickets included the Keep & more of the castle. There were buggys (golf carts) to drive visitors w/ mobility issues up the hill to the gardens & castle. I'm sure that is very much appreciated! It was interesting to see a cork tree on the grounds.

The extensive gardens were absolutely beautiful! With well planned vistas and water features, there was a surprise around every corner. Carefully shaped hedges surrounded the different sections and created a wonderful backdrop for the beautiful flowers. Arbors, fountains & benches were lovely accents. A long archway had apple trees trained over it and was heavy with fruit. Interesting veggies in the kitchen garden. A coffee shop w/ outdoor tables would have been a lovely spot to linger on a sunny day.

However, the day of our visit was cool w/ extremely high winds which made it difficult to enjoy the gardens properly. We went to the cafe in the castle to get out of the wind. There were lots of tasty looking meals & snacks to choose from. The staff were very pleasant & helpful as they had been everywhere else. We enjoyed our tea & scones - it's not every day you get to have tea in a castle!
We would have liked to have spent more time there - if we're ever in the area again we'll return to see more of the castle. Highly recommend!
Read less",basic bronze ticket ea allowed access fitzalan chapel garden cafe gift shop,access fitzalan chapel garden cafe gift shop,"['access', 'fitzalan', 'garden', 'cafe', 'gift', 'shop']",Shop&Amenties
