,OrigInd,Town,Rating,Sentence,cleaned_sentences,noun_phrases,nouns,Topic
2,2474,Arundel,4,"Lunch here was decent but Lunch here was decent but not excellent. Surprised at the rave reviews about the quality of the food; we found it to be competent but the menu was a bit of a mish mash of cuisines from everywhere and the food quality reflected the lack of specialisation. The staff were attentive - none of the problems of other reviews were experienced. The location, by the river, is pleasant.",location river pleasant,location river pleasant,"['location', 'river', 'pleasant']",VFM
3,2476,Arundel,1,"Poor food, service and over priced drinks. This place is in such a fantastic setting and could be so great. Probably one of the worst dinners I have eaten in a long time. The weirdest fruit crumble, watery base and uncooked porridge oats thrown over the top. The place was very quiet, only a couple of tables in, yet service slow and erratic. Half the table of our group were cleared of the plates and then the rest were left, we had to remind them to come back to finish the job. Desserts took ages to arrive even though everything was pre ordered. Some of the dishes that other members of the group were enjoyed so not totally awful for all.",weirdest fruit crumble watery base uncooked porridge oat thrown top,weirdest fruit crumble watery base,"['fruit', 'watery', 'base']",Quality
8,2479,Arundel,5,"Fantastic food and great service despite a busy Sunday lunch time. The food here was delicious, I had the arancini on the current menu and it was beautifully blended and filling. I’m not vegan but the vegan-dairy used tasted really great. It got quite busy half way through our meal but staff were all working hard to cover everyone. Plus the pub has the hogwarts rowing boat from Harry Potter and the Philosopher’s Stone movie! Five stars would recommend and return!",plus pub hogwarts rowing boat harry potter philosopher stone movie,boat harry potter philosopher stone movie,"['boat', 'harry', 'potter', 'stone', 'movie']",StaffGen
18,2494,Arundel,4,"Lovely roast with attentive staff Came for my nieces birthday, although some of the roasts had run out, good alternatives were given and food was great. Maybe a little less coarse cabbage, but nothing major. Extras were given, and the waitress was very good with great attention to detail and our needs.",extra given waitress good great attention detail need,good great attention detail need,"['attention', 'detail', 'need']",FoodGen
19,2496,Arundel,4,"Milking the Cow? Stunningly located under Arundel Castle, alongside the river, with lots of outdoor seating on a warm and crisp Autumn day - with leaves turning beautifully colourful.

Clearly a gathering place for those who lunch - but what a shame that they are so exploited.

£8.50 for an ""Open Sandwich"" - AKA a single slice of brown bread with some cherry tomatoes, crayfish, a splash of dressing and some limp watercress? Come on! Not even a salad garnish? Said sandwich was amazingly bland and disappointing.

Can't knock it for location thoug - as I said, stunning, and the buzz of the place, great. Appears to be extremely dog-friendly too - but does this planet really need doggy ice-cream?",clearly gathering place lunch shame exploited,gathering place lunch shame,"['place', 'lunch', 'shame']",FoodGen
21,2497,Arundel,3,"Poor Was looking forward to a NICE pub lunch by the river.
After thinking the prices had gone up alot, we realised we had been overcharged by over £7. Paid by card but they couldn't refund to card......?
 When food came i was miffed that my (veggie)ball roll did not have any ""balls"" in it but instead what resembled babyfood paste spread over hot lettuce. Cheap fishfingers in a roll for £7.50. Was gutted to see the size of a £2 bowl of chips! Perhaps i've not been out for a while but £5.30 for a pint of lager shocked me.",poor looking forward nice pub lunch river,nice pub lunch river,"['pub', 'lunch', 'river']",Booking&Table
22,2497,Arundel,3,"Poor Was looking forward to a NICE pub lunch by the river.
After thinking the prices had gone up alot, we realised we had been overcharged by over £7. Paid by card but they couldn't refund to card......?
 When food came i was miffed that my (veggie)ball roll did not have any ""balls"" in it but instead what resembled babyfood paste spread over hot lettuce. Cheap fishfingers in a roll for £7.50. Was gutted to see the size of a £2 bowl of chips! Perhaps i've not been out for a while but £5.30 for a pint of lager shocked me.",food came miffed veggie ball roll notballinstead resembled babymoon paste spread hot lettuce,veggie ball roll notballinstead,"['veggie', 'ball', 'roll', 'notballinstead']",VFM
24,2500,Arundel,2,"Lunch out not up to usual standard Just had lunch with my wife at Black Rabbit. We have been coming here for many years and always been happy. Location is fantastic. However, this time service was not good (limited knowledge of menu with no support from experienced staff, requested ketchup never arrived) and the two 'crayfish open sandwiches' looked good but the tomatoes were watery had no taste (Previously chilled too much?) , the dressing made the bread soggy and the crayfish did not taste fresh.
My wife could not eat hers and I left most of the tomatoes. Drinks were also at the very high end on price. We just wanted a nice lunch out but went home disappointed.",however service not good limited knowledge menu support experienced staff requested ketchup never arrived two crayfish open sandwich looked good tomato watery taste previously chilled much,knowledge menu support,"['knowledge', 'menu', 'support']",Menu
25,2500,Arundel,2,"Lunch out not up to usual standard Just had lunch with my wife at Black Rabbit. We have been coming here for many years and always been happy. Location is fantastic. However, this time service was not good (limited knowledge of menu with no support from experienced staff, requested ketchup never arrived) and the two 'crayfish open sandwiches' looked good but the tomatoes were watery had no taste (Previously chilled too much?) , the dressing made the bread soggy and the crayfish did not taste fresh.
My wife could not eat hers and I left most of the tomatoes. Drinks were also at the very high end on price. We just wanted a nice lunch out but went home disappointed.",however service not good limited knowledge menu support experienced staff requested ketchup never arrived two crayfish open sandwich looked good tomato watery taste previously chilled much,good tomato watery taste,"['tomato', 'watery', 'taste']",FoodPort
37,2518,Arundel,4,"Lovely pub in a stunning location  Met friends at 12.30 today (Saturday) and already the place was pretty full - sunny morning so most outside tables taken but still a few picnic style benches left. Other tables available in side.
Lovely riverside location. Huge food selection and between the 4 of us we had 2 salad Buddha bowls and 2 fish and chips. Both were very nice and perfect lunch size proportions - only comment was that there could have been a few more chips and a little less batter at the ends of the fish, but the batter was good and crunchy.
Nice colourful salad bowl with an unusual variety of vegetables etc including roasted butternut squash and quinoa.
Friends have been the pub a few times before and are very complimentary
Sandwich menu is not available at the weekends as they have a pizza van instead
Would return",nice perfect lunch size proportion comment could chip littlebatter end fish batter good crunchy,chip littlebatter end fish batter good crunchy,"['chip', 'end', 'fish', 'batter', 'crunchy']",Quality
